id,smiles
1,c2ccc(c1ccccn1)cc2
2,Cc2ccc(c1ccccc1)nc2
3,Cc2ccc(c1ccc(F)cc1)nc2
4,Cc2ccc(c1ccc(Cl)cc1)nc2
5,Cc2ccc(c1ccc(Br)cc1)nc2
6,Cc2ccc(c1ccc(I)cc1)nc2
7,Cc2ccc(c1ccc(C#N)cc1)nc2
8,CC1=CN=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-]
9,COc2ccc(c1ccc(C)cn1)cc2
10,O=C(O)C1=CC=C(C2=NC=C(C)C=C2)C=C1
11,Cc2ccc(c1ccc(F)cc1F)nc2
12,Cc2ccc(c1ccc(F)cc1Cl)nc2
13,Cc2ccc(c1ccc(F)cc1Br)nc2
14,Fc2ccc(c1ccc(C(F)(F)F)cn1)c(F)c2
15,O=Cc2ccc(c1ccccn1)cc2
23,C2=C(C1=NC(=CC(=N1)Cl)Cl)C=CC=C2
26,C1(C2=CC=CC=C2)=NC3=CC=CC=C3C=C1
27,C1(C2=CC=CC=C2)=NC=CC3=C1C=CC=C3
29,Cc3ccc(c2ccc(c1ccccc1)cc2)nc3
30,C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2
32,Cc3ccc(c2nc1ccccc1s2)cc3
33,Cc3ccc(c2nc1ccccc1o2)cc3
35,COc3ccc(c2nc1ccccc1o2)cc3
36,Fc3ccc(c2nc1ccccc1s2)cc3
