id,smiles
1,c1ccc(nc1)-c2ccccn2
2,CC1=CC(=NC=C1)C2=NC=CC(=C2)C
3,Cc2ccc(c1ccc(C)cn1)nc2
4,Cc2cccc(c1cccc(C)n1)n2
5,C1=CC=C(C=C1)C2=CC(=NC=C2)C3=NC=CC(=C3)C4=CC=CC=C4
6,CC(C)(C)c1ccnc(c1)-c2cc(ccn2)C(C)(C)C
7,FC(F)(F)c2ccc(c1ccc(C(F)(F)F)cn1)nc2
8,COC1=CC(=NC=C1)C2=NC=CC(=C2)OC
9,BrC1=CC(=NC=C1)C2=NC=CC(=C2)Br
11,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2
14,C1=CC2=C(C3=C(C=CC=N3)C(=O)C2=O)N=C1
16,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
17,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)[N+](=O)[O-]
19,O=C1c2ccccc2-c2ccccc21
20,CC1=CN=C2C(=C1C)C=CC3=C(C(=CN=C32)C)C
21,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=CC=CC=C4C=C3
23,Cc5cc(c1ccccc1)c4ccc3c(c2ccccc2)cc(C)nc3c4n5
24,C1=CC=C(C=C1)C2=C3C=CC4=C(C=CN=C4C3=NC=C2)C5=CC=CC=C5
26,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2
33,Cc1ccnc3c1ccc2c(C)ccnc23
34,Cc3ccc2ccc1ccc(C)nc1c2n3
37,C1=CC(=NC(=C1)Br)C2=NC(=CC=C2)Br
40,c2ccc(c1ccn[nH]1)nc2
44,Cc1ccnc3c1ccc2cccnc23
